0, 8, O, None, Draw, 12.25, 92.0
1, 9, O, None, Draw, 12.25, 89.8
2, 9, O, None, Draw, 12.25, 90.6
3, 9, X, None, Draw, 91.0, 12.0
4, 9, O, None, Draw, 12.25, 89.4
5, 9, O, None, Draw, 12.75, 89.6
6, 9, X, None, Draw, 90.2, 12.25
7, 9, O, None, Draw, 12.5, 90.6
8, 9, X, None, Draw, 90.4, 12.75
9, 9, X, None, Draw, 90.0, 12.25
10, 9, X, None, Draw, 89.6, 12.25
11, 9, O, None, Draw, 12.0, 90.8
12, 9, X, None, Draw, 89.8, 12.25
13, 9, O, None, Draw, 12.5, 89.8
14, 9, O, None, Draw, 12.5, 90.2
15, 9, X, None, Draw, 90.0, 12.25
16, 9, O, None, Draw, 12.25, 90.4
17, 9, O, None, Draw, 12.5, 89.8
18, 9, O, None, Draw, 12.75, 91.2
19, 9, X, None, Draw, 90.0, 12.25
20, 9, O, None, Draw, 12.25, 89.4
21, 9, X, None, Draw, 89.2, 12.0
22, 9, X, None, Draw, 88.4, 12.25
23, 9, X, None, Draw, 88.8, 12.25
24, 9, X, None, Draw, 88.6, 12.25
25, 9, O, None, Draw, 12.25, 89.4
26, 9, X, None, Draw, 88.4, 12.0
27, 9, O, None, Draw, 12.25, 87.8
28, 9, X, None, Draw, 89.0, 11.75
29, 9, O, None, Draw, 12.25, 88.6
30, 9, O, None, Draw, 12.0, 88.0
31, 9, O, None, Draw, 12.25, 88.0
32, 9, O, None, Draw, 12.0, 88.2
33, 9, X, None, Draw, 89.2, 12.0
34, 9, O, None, Draw, 12.25, 87.8
35, 9, O, None, Draw, 12.5, 87.8
36, 9, O, None, Draw, 12.0, 88.6
37, 9, X, None, Draw, 88.8, 12.25
38, 9, O, None, Draw, 12.5, 89.4
39, 9, O, None, Draw, 12.25, 88.8
40, 9, X, None, Draw, 88.0, 12.25
41, 9, O, None, Draw, 12.0, 89.4
42, 9, X, None, Draw, 88.2, 12.25
43, 9, X, None, Draw, 89.0, 11.75
44, 9, O, None, Draw, 12.5, 88.0
45, 9, X, None, Draw, 89.0, 12.0
46, 9, O, None, Draw, 13.0, 88.6
47, 9, O, None, Draw, 12.0, 89.0
48, 9, O, None, Draw, 12.0, 90.2
49, 9, X, None, Draw, 88.8, 12.25
50, 9, X, None, Draw, 88.8, 12.25
51, 9, O, None, Draw, 12.25, 87.8
52, 9, X, None, Draw, 88.4, 12.25
53, 9, O, None, Draw, 12.0, 89.0
54, 9, X, None, Draw, 88.8, 12.0
55, 9, X, None, Draw, 88.8, 12.0
56, 9, X, None, Draw, 88.8, 12.25
57, 9, O, None, Draw, 12.25, 88.4
58, 9, X, None, Draw, 88.4, 12.25
59, 9, X, None, Draw, 88.8, 12.25
60, 9, X, None, Draw, 88.2, 12.0
61, 9, X, None, Draw, 88.8, 12.0
62, 9, O, None, Draw, 12.25, 88.6
63, 9, X, None, Draw, 89.2, 12.5
64, 9, O, None, Draw, 12.0, 88.0
65, 9, O, None, Draw, 12.0, 88.2
66, 9, X, None, Draw, 88.0, 12.0
67, 9, O, None, Draw, 12.0, 88.4
68, 9, X, None, Draw, 87.8, 12.0
69, 9, O, None, Draw, 12.0, 88.0
70, 9, X, None, Draw, 89.2, 12.25
71, 9, O, None, Draw, 12.0, 91.6
72, 9, O, None, Draw, 12.0, 87.8
73, 9, O, None, Draw, 13.0, 87.8
74, 9, O, None, Draw, 12.25, 88.0
75, 9, X, None, Draw, 87.8, 12.0
76, 9, O, None, Draw, 12.25, 88.4
77, 9, O, None, Draw, 12.25, 87.8
78, 9, X, None, Draw, 89.6, 12.0
79, 9, X, None, Draw, 89.0, 12.5
80, 9, X, None, Draw, 88.8, 12.25
81, 9, O, None, Draw, 12.25, 88.2
82, 9, O, None, Draw, 12.0, 88.4
83, 9, O, None, Draw, 12.0, 88.4
84, 9, O, None, Draw, 13.0, 88.4
85, 9, X, None, Draw, 88.4, 12.25
86, 9, X, None, Draw, 88.8, 12.0
87, 9, O, None, Draw, 12.75, 88.2
88, 9, O, None, Draw, 12.0, 88.8
89, 9, X, None, Draw, 89.0, 12.25
90, 9, X, None, Draw, 88.4, 12.0
91, 9, X, None, Draw, 89.2, 12.5
92, 9, X, None, Draw, 88.8, 12.0
93, 9, X, None, Draw, 88.4, 12.0
94, 9, X, None, Draw, 88.0, 12.0
95, 9, X, None, Draw, 89.4, 12.0
96, 9, O, None, Draw, 12.25, 89.0
97, 9, O, None, Draw, 13.0, 88.2
98, 9, X, None, Draw, 88.4, 12.0
99, 9, O, None, Draw, 12.25, 88.8
