0, 5, X, Minimax Agent, O, 0.0, 18.0
1, 9, O, None, Draw, 0.0, 91.8
2, 7, O, Minimax Agent, O, 0.0, 112.75
3, 8, X, Minimax Agent, O, 0.0, 13.0
4, 6, X, Minimax Agent, O, 0.0, 15.0
5, 5, O, Minimax Agent, O, 0.0, 148.66666666666666
6, 5, O, Minimax Agent, O, 0.0, 148.33333333333334
7, 8, X, Minimax Agent, O, 0.0, 12.5
8, 9, O, None, Draw, 0.25, 87.4
9, 5, O, Minimax Agent, O, 0.0, 148.33333333333334
10, 8, X, Minimax Agent, O, 0.0, 11.5
11, 6, X, Minimax Agent, O, 0.0, 17.0
12, 6, X, Minimax Agent, O, 0.0, 15.666666666666666
13, 8, X, Minimax Agent, O, 0.0, 11.25
14, 8, X, Minimax Agent, O, 0.0, 13.5
15, 9, X, None, Draw, 0.0, 12.75
16, 8, X, Minimax Agent, O, 0.0, 12.0
17, 5, O, Minimax Agent, O, 0.0, 149.66666666666666
18, 6, X, Minimax Agent, O, 0.0, 18.0
19, 6, X, Minimax Agent, O, 0.0, 16.666666666666668
20, 5, O, Minimax Agent, O, 0.0, 147.0
21, 6, X, Minimax Agent, O, 0.0, 17.0
22, 6, X, Minimax Agent, O, 0.0, 16.333333333333332
23, 8, X, Minimax Agent, O, 0.0, 12.25
24, 6, X, Minimax Agent, O, 0.0, 17.666666666666668
25, 5, O, Minimax Agent, O, 0.0, 146.0
26, 7, O, Minimax Agent, O, 0.0, 110.5
27, 9, X, None, Draw, 0.0, 13.0
28, 5, O, Minimax Agent, O, 0.0, 147.0
29, 8, X, Minimax Agent, O, 0.0, 12.25
30, 6, X, Minimax Agent, O, 0.0, 16.666666666666668
31, 8, X, Minimax Agent, O, 0.0, 13.25
32, 5, O, Minimax Agent, O, 0.0, 148.0
33, 8, X, Minimax Agent, O, 0.0, 13.25
34, 5, O, Minimax Agent, O, 0.0, 147.66666666666666
35, 7, O, Minimax Agent, O, 0.3333333333333333, 108.75
36, 7, O, Minimax Agent, O, 0.0, 110.5
37, 5, O, Minimax Agent, O, 0.0, 145.33333333333334
38, 8, X, Minimax Agent, O, 0.0, 11.25
39, 5, O, Minimax Agent, O, 0.0, 148.0
40, 8, X, Minimax Agent, O, 0.0, 12.5
41, 8, X, Minimax Agent, O, 0.0, 12.5
42, 7, O, Minimax Agent, O, 0.0, 108.75
43, 8, X, Minimax Agent, O, 0.25, 13.5
44, 7, O, Minimax Agent, O, 0.0, 110.0
45, 7, O, Minimax Agent, O, 0.0, 110.0
46, 7, O, Minimax Agent, O, 0.0, 108.0
47, 5, O, Minimax Agent, O, 0.0, 146.66666666666666
48, 5, O, Minimax Agent, O, 0.0, 145.33333333333334
49, 6, X, Minimax Agent, O, 0.0, 15.666666666666666
50, 5, O, Minimax Agent, O, 0.0, 146.0
51, 5, O, Minimax Agent, O, 0.0, 147.0
52, 7, O, Minimax Agent, O, 0.0, 110.25
53, 6, X, Minimax Agent, O, 0.0, 16.333333333333332
54, 6, X, Minimax Agent, O, 0.0, 17.0
55, 9, X, None, Draw, 0.0, 11.25
56, 5, O, Minimax Agent, O, 0.0, 144.66666666666666
57, 5, O, Minimax Agent, O, 0.0, 147.0
58, 8, X, Minimax Agent, O, 0.0, 13.0
59, 9, X, None, Draw, 0.0, 13.25
60, 6, X, Minimax Agent, O, 0.0, 16.0
61, 9, X, None, Draw, 0.0, 12.5
62, 5, O, Minimax Agent, O, 0.0, 144.33333333333334
63, 9, X, None, Draw, 0.2, 13.0
64, 5, O, Minimax Agent, O, 0.0, 147.66666666666666
65, 9, X, None, Draw, 0.0, 12.25
66, 6, X, Minimax Agent, O, 0.0, 18.333333333333332
67, 7, O, Minimax Agent, O, 0.0, 110.25
68, 9, X, None, Draw, 0.0, 11.5
69, 5, O, Minimax Agent, O, 0.0, 149.33333333333334
70, 5, O, Minimax Agent, O, 0.0, 148.0
71, 5, O, Minimax Agent, O, 0.0, 144.66666666666666
72, 9, X, None, Draw, 0.0, 13.5
73, 8, X, Minimax Agent, O, 0.0, 12.25
74, 8, X, Minimax Agent, O, 0.0, 12.5
75, 8, X, Minimax Agent, O, 0.0, 13.25
76, 6, X, Minimax Agent, O, 0.0, 16.333333333333332
77, 5, O, Minimax Agent, O, 0.0, 144.0
78, 6, X, Minimax Agent, O, 0.0, 16.666666666666668
79, 7, O, Minimax Agent, O, 0.0, 109.25
80, 5, O, Minimax Agent, O, 0.0, 145.66666666666666
81, 6, X, Minimax Agent, O, 0.0, 17.666666666666668
82, 5, O, Minimax Agent, O, 0.0, 145.66666666666666
83, 8, X, Minimax Agent, O, 0.0, 13.5
84, 6, X, Minimax Agent, O, 0.0, 16.666666666666668
85, 5, O, Minimax Agent, O, 0.0, 148.0
86, 5, O, Minimax Agent, O, 0.0, 147.0
87, 8, X, Minimax Agent, O, 0.0, 12.5
88, 8, X, Minimax Agent, O, 0.0, 12.5
89, 7, O, Minimax Agent, O, 0.0, 110.0
90, 8, X, Minimax Agent, O, 0.0, 12.75
91, 5, O, Minimax Agent, O, 0.0, 145.0
92, 7, O, Minimax Agent, O, 0.0, 109.5
93, 6, X, Minimax Agent, O, 0.0, 17.333333333333332
94, 6, X, Minimax Agent, O, 0.0, 17.666666666666668
95, 7, O, Minimax Agent, O, 0.0, 109.0
96, 8, X, Minimax Agent, O, 0.0, 12.0
97, 8, X, Minimax Agent, O, 0.0, 12.25
98, 5, O, Minimax Agent, O, 0.0, 149.0
99, 8, X, Minimax Agent, O, 0.0, 13.25
