0, 7, O, Q-Learning Agent, X, 0.0, 0.0
1, 7, X, Q-Learning Agent, X, 0.0, 0.0
2, 8, O, Q-Learning Agent, X, 0.0, 0.0
3, 9, O, None, Draw, 0.0, 0.0
4, 7, O, Q-Learning Agent, O, 0.3333333333333333, 0.0
5, 8, O, Q-Learning Agent, X, 0.0, 0.0
6, 5, O, Q-Learning Agent, O, 0.0, 0.0
7, 8, X, Q-Learning Agent, O, 0.0, 0.0
8, 9, X, None, Draw, 0.0, 0.0
9, 7, O, Q-Learning Agent, O, 0.0, 0.25
10, 9, X, Q-Learning Agent, X, 0.0, 0.25
11, 9, O, None, Draw, 0.25, 0.0
12, 7, O, Q-Learning Agent, O, 0.0, 0.0
13, 9, X, Q-Learning Agent, X, 0.0, 0.0
14, 9, O, None, Draw, 0.0, 0.0
15, 8, O, Q-Learning Agent, X, 0.0, 0.0
16, 6, X, Q-Learning Agent, O, 0.0, 0.0
17, 7, O, Q-Learning Agent, O, 0.0, 0.0
18, 7, O, Q-Learning Agent, O, 0.0, 0.0
19, 5, O, Q-Learning Agent, O, 0.0, 0.0
20, 7, O, Q-Learning Agent, O, 0.0, 0.0
21, 9, X, Q-Learning Agent, X, 0.0, 0.0
22, 6, O, Q-Learning Agent, X, 0.0, 0.0
23, 7, X, Q-Learning Agent, X, 0.0, 0.0
24, 9, X, None, Draw, 0.0, 0.0
25, 5, O, Q-Learning Agent, O, 0.0, 0.0
26, 9, X, None, Draw, 0.0, 0.0
27, 7, X, Q-Learning Agent, X, 0.0, 0.0
28, 7, X, Q-Learning Agent, X, 0.0, 0.0
29, 8, X, Q-Learning Agent, O, 0.0, 0.0
30, 7, O, Q-Learning Agent, O, 0.0, 0.0
31, 7, X, Q-Learning Agent, X, 0.0, 0.0
32, 8, O, Q-Learning Agent, X, 0.0, 0.0
33, 7, X, Q-Learning Agent, X, 0.0, 0.0
34, 9, O, None, Draw, 0.0, 0.0
35, 5, X, Q-Learning Agent, X, 0.0, 0.0
36, 9, O, None, Draw, 0.0, 0.0
37, 5, O, Q-Learning Agent, O, 0.0, 0.0
38, 6, O, Q-Learning Agent, X, 0.0, 0.0
39, 7, O, Q-Learning Agent, O, 0.0, 0.0
40, 7, O, Q-Learning Agent, O, 0.0, 0.0
41, 9, O, None, Draw, 0.0, 0.0
42, 8, O, Q-Learning Agent, X, 0.0, 0.0
43, 7, O, Q-Learning Agent, O, 0.0, 0.0
44, 7, X, Q-Learning Agent, X, 0.0, 0.0
45, 9, O, None, Draw, 0.0, 0.0
46, 6, O, Q-Learning Agent, X, 0.0, 0.0
47, 9, X, Q-Learning Agent, X, 0.0, 0.0
48, 9, X, None, Draw, 0.0, 0.0
49, 5, X, Q-Learning Agent, X, 0.0, 0.0
50, 7, X, Q-Learning Agent, X, 0.0, 0.0
51, 9, O, None, Draw, 0.0, 0.0
52, 7, O, Q-Learning Agent, O, 0.3333333333333333, 0.0
53, 9, X, Q-Learning Agent, X, 0.0, 0.0
54, 7, O, Q-Learning Agent, O, 0.0, 0.0
55, 8, O, Q-Learning Agent, X, 0.0, 0.25
56, 9, X, Q-Learning Agent, X, 0.0, 0.0
57, 9, O, None, Draw, 0.0, 0.0
58, 9, X, None, Draw, 0.0, 0.0
59, 9, O, None, Draw, 0.25, 0.0
60, 7, X, Q-Learning Agent, X, 0.0, 0.0
61, 9, O, None, Draw, 0.0, 0.0
62, 5, O, Q-Learning Agent, O, 0.0, 0.0
63, 7, O, Q-Learning Agent, O, 0.0, 0.0
64, 9, X, None, Draw, 0.0, 0.0
65, 7, X, Q-Learning Agent, X, 0.0, 0.0
66, 7, X, Q-Learning Agent, X, 0.0, 0.0
67, 7, O, Q-Learning Agent, O, 0.0, 0.0
68, 5, O, Q-Learning Agent, O, 0.0, 0.0
69, 9, X, None, Draw, 0.0, 0.0
70, 9, O, None, Draw, 0.0, 0.0
71, 7, O, Q-Learning Agent, O, 0.0, 0.0
72, 7, O, Q-Learning Agent, O, 0.0, 0.0
73, 9, O, None, Draw, 0.0, 0.0
74, 8, O, Q-Learning Agent, X, 0.0, 0.0
75, 7, X, Q-Learning Agent, X, 0.0, 0.0
76, 8, O, Q-Learning Agent, X, 0.0, 0.0
77, 6, O, Q-Learning Agent, X, 0.0, 0.0
78, 7, O, Q-Learning Agent, O, 0.0, 0.0
79, 7, O, Q-Learning Agent, O, 0.0, 0.0
80, 6, X, Q-Learning Agent, O, 0.0, 0.0
81, 8, X, Q-Learning Agent, O, 0.0, 0.0
82, 6, O, Q-Learning Agent, X, 0.0, 0.0
83, 9, X, Q-Learning Agent, X, 0.0, 0.0
84, 9, O, None, Draw, 0.0, 0.0
85, 9, O, None, Draw, 0.25, 0.0
86, 8, O, Q-Learning Agent, X, 0.25, 0.0
87, 9, X, None, Draw, 0.0, 0.0
88, 8, O, Q-Learning Agent, X, 0.25, 0.0
89, 9, X, Q-Learning Agent, X, 0.0, 0.0
90, 8, X, Q-Learning Agent, O, 0.0, 0.0
91, 9, X, Q-Learning Agent, X, 0.0, 0.0
92, 9, O, None, Draw, 0.0, 0.0
93, 6, O, Q-Learning Agent, X, 0.0, 0.0
94, 8, O, Q-Learning Agent, X, 0.25, 0.0
95, 9, X, None, Draw, 0.0, 0.0
96, 9, O, None, Draw, 0.0, 0.0
97, 9, X, Q-Learning Agent, X, 0.0, 0.0
98, 8, X, Q-Learning Agent, O, 0.0, 0.0
99, 9, X, Q-Learning Agent, X, 0.0, 0.0
