0, 6, X, Q-Learning Agent, X, 0.0, 0.0
1, 5, O, Random Agent, O, 0.0, 0.0
2, 6, X, Random Agent, O, 0.0, 0.0
3, 7, O, Random Agent, O, 0.0, 0.0
4, 8, O, Q-Learning Agent, X, 0.0, 0.0
5, 9, X, Q-Learning Agent, X, 0.0, 0.0
6, 9, O, None, Draw, 0.0, 0.0
7, 5, O, Random Agent, O, 0.0, 0.0
8, 9, O, None, Draw, 0.0, 0.0
9, 8, X, Random Agent, O, 0.0, 0.0
10, 5, X, Q-Learning Agent, X, 0.0, 0.0
11, 8, X, Random Agent, O, 0.0, 0.0
12, 9, X, Q-Learning Agent, X, 0.0, 0.0
13, 9, X, Q-Learning Agent, X, 0.0, 0.0
14, 9, O, None, Draw, 0.0, 0.0
15, 7, X, Q-Learning Agent, X, 0.0, 0.0
16, 7, O, Random Agent, O, 0.0, 0.25
17, 8, O, Q-Learning Agent, X, 0.0, 0.0
18, 8, O, Q-Learning Agent, X, 0.0, 0.0
19, 9, X, Q-Learning Agent, X, 0.0, 0.0
20, 7, X, Q-Learning Agent, X, 0.0, 0.0
21, 5, O, Random Agent, O, 0.0, 0.3333333333333333
22, 9, X, Q-Learning Agent, X, 0.0, 0.0
23, 7, X, Q-Learning Agent, X, 0.0, 0.0
24, 8, X, Random Agent, O, 0.0, 0.0
25, 9, O, None, Draw, 0.0, 0.0
26, 8, X, Random Agent, O, 0.0, 0.0
27, 8, O, Q-Learning Agent, X, 0.0, 0.0
28, 8, O, Q-Learning Agent, X, 0.0, 0.0
29, 7, O, Random Agent, O, 0.3333333333333333, 0.0
30, 7, X, Q-Learning Agent, X, 0.0, 0.0
31, 7, O, Random Agent, O, 0.0, 0.0
32, 9, O, None, Draw, 0.0, 0.0
33, 9, O, None, Draw, 0.0, 0.0
34, 9, X, None, Draw, 0.0, 0.0
35, 9, O, None, Draw, 0.0, 0.0
36, 7, O, Random Agent, O, 0.0, 0.0
37, 7, X, Q-Learning Agent, X, 0.0, 0.0
38, 7, X, Q-Learning Agent, X, 0.0, 0.0
39, 8, O, Q-Learning Agent, X, 0.0, 0.0
40, 7, O, Random Agent, O, 0.0, 0.0
41, 7, X, Q-Learning Agent, X, 0.0, 0.0
42, 9, X, Q-Learning Agent, X, 0.0, 0.0
43, 6, O, Q-Learning Agent, X, 0.0, 0.0
44, 9, O, None, Draw, 0.0, 0.0
45, 8, O, Q-Learning Agent, X, 0.0, 0.0
46, 6, O, Q-Learning Agent, X, 0.6666666666666666, 0.0
47, 7, X, Q-Learning Agent, X, 0.0, 0.0
48, 6, X, Random Agent, O, 0.0, 0.0
49, 7, X, Q-Learning Agent, X, 0.0, 0.0
50, 8, O, Q-Learning Agent, X, 0.25, 0.0
51, 7, O, Random Agent, O, 0.0, 0.0
52, 7, X, Q-Learning Agent, X, 0.0, 0.0
53, 6, X, Random Agent, O, 0.0, 0.0
54, 8, O, Q-Learning Agent, X, 0.25, 0.0
55, 7, X, Q-Learning Agent, X, 0.0, 0.0
56, 8, X, Random Agent, O, 0.25, 0.0
57, 9, O, None, Draw, 0.0, 0.0
58, 8, X, Random Agent, O, 0.0, 0.0
59, 9, O, None, Draw, 0.0, 0.0
60, 5, X, Q-Learning Agent, X, 0.0, 0.0
61, 7, O, Random Agent, O, 0.0, 0.0
62, 8, X, Random Agent, O, 0.0, 0.0
63, 9, X, Q-Learning Agent, X, 0.0, 0.0
64, 5, X, Q-Learning Agent, X, 0.0, 0.0
65, 9, O, None, Draw, 0.0, 0.0
66, 5, O, Random Agent, O, 0.0, 0.0
67, 9, X, Q-Learning Agent, X, 0.0, 0.0
68, 7, X, Q-Learning Agent, X, 0.0, 0.0
69, 9, X, Q-Learning Agent, X, 0.0, 0.0
70, 5, O, Random Agent, O, 0.0, 0.0
71, 7, O, Random Agent, O, 0.0, 0.0
72, 7, X, Q-Learning Agent, X, 0.0, 0.0
73, 9, O, None, Draw, 0.0, 0.0
74, 7, O, Random Agent, O, 0.0, 0.0
75, 7, X, Q-Learning Agent, X, 0.0, 0.0
76, 7, O, Random Agent, O, 0.0, 0.0
77, 9, X, None, Draw, 0.0, 0.0
78, 9, O, None, Draw, 0.0, 0.0
79, 9, O, None, Draw, 0.0, 0.0
80, 7, O, Random Agent, O, 0.0, 0.0
81, 9, O, None, Draw, 0.0, 0.0
82, 7, O, Random Agent, O, 0.0, 0.0
83, 8, O, Q-Learning Agent, X, 0.25, 0.0
84, 6, O, Q-Learning Agent, X, 0.0, 0.0
85, 6, X, Random Agent, O, 0.0, 0.0
86, 5, O, Random Agent, O, 0.0, 0.0
87, 8, O, Q-Learning Agent, X, 0.0, 0.0
88, 8, O, Q-Learning Agent, X, 0.0, 0.0
89, 9, X, Q-Learning Agent, X, 0.0, 0.0
90, 5, X, Q-Learning Agent, X, 0.0, 0.0
91, 9, O, None, Draw, 0.0, 0.0
92, 5, O, Random Agent, O, 0.0, 0.0
93, 5, X, Q-Learning Agent, X, 0.3333333333333333, 0.0
94, 7, X, Q-Learning Agent, X, 0.0, 0.0
95, 8, O, Q-Learning Agent, X, 0.0, 0.0
96, 9, O, None, Draw, 0.0, 0.0
97, 6, O, Q-Learning Agent, X, 0.0, 0.0
98, 9, X, None, Draw, 0.0, 0.0
99, 8, O, Q-Learning Agent, X, 0.0, 0.0
