0, 7, X, Minimax Agent, O, 0.0, 20.75
1, 7, O, Minimax Agent, O, 0.0, 281.75
2, 6, X, Minimax Agent, O, 0.0, 35.0
3, 7, O, Minimax Agent, O, 0.0, 211.75
4, 8, X, Minimax Agent, O, 0.0, 23.5
5, 8, X, Minimax Agent, O, 0.0, 20.0
6, 6, X, Minimax Agent, O, 0.0, 28.666666666666668
7, 5, O, Minimax Agent, O, 0.0, 297.6666666666667
8, 6, X, Minimax Agent, O, 0.0, 36.666666666666664
9, 8, X, Minimax Agent, O, 0.0, 28.25
10, 5, O, Minimax Agent, O, 0.0, 259.6666666666667
11, 5, O, Minimax Agent, O, 0.0, 260.0
12, 7, O, Minimax Agent, O, 0.0, 194.75
13, 5, O, Minimax Agent, O, 0.0, 258.3333333333333
14, 5, O, Minimax Agent, O, 0.0, 258.6666666666667
15, 8, X, Minimax Agent, O, 0.0, 22.0
16, 7, O, Minimax Agent, O, 0.0, 195.75
17, 5, O, Minimax Agent, O, 0.0, 263.0
18, 5, O, Minimax Agent, O, 0.0, 265.3333333333333
19, 6, X, Minimax Agent, O, 0.0, 30.0
20, 5, O, Minimax Agent, O, 0.0, 262.0
21, 5, O, Minimax Agent, O, 0.0, 260.3333333333333
22, 6, X, Minimax Agent, O, 0.0, 29.0
23, 5, O, Minimax Agent, O, 0.0, 260.6666666666667
24, 8, X, Minimax Agent, O, 0.0, 23.25
25, 5, O, Minimax Agent, O, 0.0, 259.3333333333333
26, 6, X, Minimax Agent, O, 0.0, 29.666666666666668
27, 9, X, None, Draw, 0.0, 24.0
28, 7, O, Minimax Agent, O, 0.0, 196.25
29, 5, O, Minimax Agent, O, 0.0, 262.3333333333333
30, 5, O, Minimax Agent, O, 0.0, 261.3333333333333
31, 8, X, Minimax Agent, O, 0.0, 23.25
32, 5, O, Minimax Agent, O, 0.0, 259.0
33, 7, O, Minimax Agent, O, 0.0, 195.5
34, 6, X, Minimax Agent, O, 0.0, 30.333333333333332
35, 5, O, Minimax Agent, O, 0.0, 261.6666666666667
36, 5, O, Minimax Agent, O, 0.0, 259.0
37, 6, X, Minimax Agent, O, 0.0, 31.333333333333332
38, 5, O, Minimax Agent, O, 0.0, 262.6666666666667
39, 8, X, Minimax Agent, O, 0.0, 22.0
40, 6, X, Minimax Agent, O, 0.0, 31.0
41, 5, O, Minimax Agent, O, 0.0, 258.3333333333333
42, 7, O, Minimax Agent, O, 0.0, 196.0
43, 5, O, Minimax Agent, O, 0.0, 264.0
44, 5, O, Minimax Agent, O, 0.0, 262.3333333333333
45, 5, O, Minimax Agent, O, 0.0, 260.6666666666667
46, 9, X, None, Draw, 0.0, 23.75
47, 7, O, Minimax Agent, O, 0.0, 195.25
48, 9, X, None, Draw, 0.0, 22.75
49, 5, O, Minimax Agent, O, 0.0, 260.6666666666667
50, 8, X, Minimax Agent, O, 0.0, 23.5
51, 8, X, Minimax Agent, O, 0.0, 23.25
52, 8, X, Minimax Agent, O, 0.0, 23.25
53, 5, O, Minimax Agent, O, 0.0, 262.0
54, 5, O, Minimax Agent, O, 0.0, 260.3333333333333
55, 6, X, Minimax Agent, O, 0.0, 27.0
56, 8, X, Minimax Agent, O, 0.0, 23.5
57, 7, O, Minimax Agent, O, 0.0, 195.25
58, 5, O, Minimax Agent, O, 0.0, 261.0
59, 5, O, Minimax Agent, O, 0.0, 262.0
60, 5, O, Minimax Agent, O, 0.0, 261.3333333333333
61, 8, X, Minimax Agent, O, 0.0, 21.75
62, 5, O, Minimax Agent, O, 0.0, 259.6666666666667
63, 5, O, Minimax Agent, O, 0.0, 261.6666666666667
64, 5, O, Minimax Agent, O, 0.0, 258.6666666666667
65, 7, O, Minimax Agent, O, 0.0, 198.25
66, 5, O, Minimax Agent, O, 0.0, 259.3333333333333
67, 6, X, Minimax Agent, O, 0.0, 27.0
68, 7, O, Minimax Agent, O, 0.0, 196.25
69, 6, X, Minimax Agent, O, 0.0, 29.0
70, 9, X, None, Draw, 0.0, 20.75
71, 5, O, Minimax Agent, O, 0.0, 265.0
72, 8, X, Minimax Agent, O, 0.0, 21.75
73, 5, O, Minimax Agent, O, 0.0, 265.0
74, 9, O, None, Draw, 0.0, 156.2
75, 5, O, Minimax Agent, O, 0.0, 263.3333333333333
76, 7, O, Minimax Agent, O, 0.0, 197.75
77, 5, O, Minimax Agent, O, 0.0, 258.6666666666667
78, 9, O, None, Draw, 0.0, 156.0
79, 5, O, Minimax Agent, O, 0.5, 261.3333333333333
80, 8, X, Minimax Agent, O, 0.0, 22.0
81, 6, X, Minimax Agent, O, 0.0, 30.333333333333332
82, 8, X, Minimax Agent, O, 0.0, 22.25
83, 9, O, None, Draw, 0.0, 157.6
84, 5, O, Minimax Agent, O, 0.0, 265.6666666666667
85, 8, X, Minimax Agent, O, 0.0, 23.0
86, 5, O, Minimax Agent, O, 0.0, 265.3333333333333
87, 9, X, None, Draw, 0.0, 23.75
88, 7, O, Minimax Agent, O, 0.0, 197.5
89, 8, X, Minimax Agent, O, 0.0, 23.5
90, 7, O, Minimax Agent, O, 0.0, 196.75
91, 8, X, Minimax Agent, O, 0.0, 21.5
92, 8, X, Minimax Agent, O, 0.0, 22.25
93, 8, X, Minimax Agent, O, 0.0, 23.5
94, 5, O, Minimax Agent, O, 0.0, 259.6666666666667
95, 5, O, Minimax Agent, O, 0.0, 263.3333333333333
96, 7, O, Minimax Agent, O, 0.0, 196.0
97, 9, X, None, Draw, 0.0, 22.0
98, 6, X, Minimax Agent, O, 0.0, 31.0
99, 8, X, Minimax Agent, O, 0.0, 23.5
