0, 8, O, None, Draw, 0.0, 0.0
1, 6, X, Random Agent, O, 0.0, 0.0
2, 6, X, Random Agent, O, 0.0, 0.0
3, 8, X, Random Agent, O, 0.0, 0.0
4, 7, X, Random Agent, X, 0.0, 0.0
5, 8, X, Random Agent, O, 0.0, 0.0
6, 9, O, None, Draw, 0.0, 0.0
7, 9, X, Random Agent, X, 0.0, 0.0
8, 7, O, Random Agent, O, 0.0, 0.0
9, 5, O, Random Agent, O, 0.0, 0.0
10, 5, X, Random Agent, X, 0.0, 0.0
11, 5, X, Random Agent, X, 0.0, 0.0
12, 6, O, Random Agent, X, 0.0, 0.0
13, 5, O, Random Agent, O, 0.0, 0.0
14, 9, O, None, Draw, 0.0, 0.0
15, 9, O, None, Draw, 0.0, 0.0
16, 5, X, Random Agent, X, 0.0, 0.0
17, 8, X, Random Agent, O, 0.0, 0.0
18, 8, X, Random Agent, O, 0.0, 0.0
19, 8, X, Random Agent, O, 0.0, 0.0
20, 8, O, Random Agent, X, 0.0, 0.0
21, 7, X, Random Agent, X, 0.0, 0.0
22, 9, X, None, Draw, 0.0, 0.0
23, 9, X, Random Agent, X, 0.0, 0.0
24, 7, X, Random Agent, X, 0.0, 0.0
25, 7, X, Random Agent, X, 0.0, 0.0
26, 8, O, Random Agent, X, 0.0, 0.0
27, 5, X, Random Agent, X, 0.0, 0.0
28, 7, O, Random Agent, O, 0.0, 0.0
29, 8, O, Random Agent, X, 0.0, 0.0
30, 7, X, Random Agent, X, 0.0, 0.0
31, 8, O, Random Agent, X, 0.0, 0.0
32, 9, O, None, Draw, 0.0, 0.0
33, 7, O, Random Agent, O, 0.0, 0.0
34, 7, X, Random Agent, X, 0.0, 0.0
35, 6, X, Random Agent, O, 0.0, 0.0
36, 8, O, Random Agent, X, 0.0, 0.0
37, 8, O, Random Agent, X, 0.0, 0.0
38, 7, X, Random Agent, X, 0.0, 0.0
39, 5, X, Random Agent, X, 0.0, 0.0
40, 9, O, None, Draw, 0.0, 0.0
41, 9, O, None, Draw, 0.0, 0.0
42, 7, X, Random Agent, X, 0.0, 0.0
43, 8, O, Random Agent, X, 0.0, 0.0
44, 7, O, Random Agent, O, 0.0, 0.0
45, 6, X, Random Agent, O, 0.0, 0.0
46, 7, O, Random Agent, O, 0.0, 0.0
47, 9, X, None, Draw, 0.0, 0.25
48, 8, X, Random Agent, O, 0.0, 0.0
49, 7, O, Random Agent, O, 0.0, 0.0
50, 7, O, Random Agent, O, 0.0, 0.0
51, 8, X, Random Agent, O, 0.0, 0.0
52, 8, O, Random Agent, X, 0.0, 0.0
53, 5, O, Random Agent, O, 0.0, 0.0
54, 9, O, None, Draw, 0.0, 0.0
55, 8, O, Random Agent, X, 0.0, 0.0
56, 8, O, Random Agent, X, 0.0, 0.0
57, 9, O, None, Draw, 0.0, 0.0
58, 5, X, Random Agent, X, 0.0, 0.0
59, 8, X, Random Agent, O, 0.0, 0.0
60, 6, X, Random Agent, O, 0.0, 0.0
61, 8, O, Random Agent, X, 0.0, 0.0
62, 9, O, None, Draw, 0.0, 0.0
63, 7, O, Random Agent, O, 0.0, 0.0
64, 8, O, Random Agent, X, 0.0, 0.0
65, 7, O, Random Agent, O, 0.0, 0.0
66, 9, O, None, Draw, 0.0, 0.0
67, 6, X, Random Agent, O, 0.0, 0.0
68, 8, O, Random Agent, X, 0.0, 0.0
69, 8, O, Random Agent, X, 0.0, 0.0
70, 9, O, None, Draw, 0.0, 0.0
71, 8, O, Random Agent, X, 0.0, 0.0
72, 8, X, Random Agent, O, 0.0, 0.0
73, 6, X, Random Agent, O, 0.0, 0.0
74, 7, X, Random Agent, X, 0.0, 0.0
75, 9, O, None, Draw, 0.0, 0.0
76, 8, X, Random Agent, O, 0.0, 0.0
77, 9, O, None, Draw, 0.0, 0.0
78, 9, O, None, Draw, 0.0, 0.0
79, 7, X, Random Agent, X, 0.0, 0.0
80, 9, X, Random Agent, X, 0.0, 0.0
81, 9, X, None, Draw, 0.0, 0.0
82, 7, X, Random Agent, X, 0.0, 0.0
83, 8, X, Random Agent, O, 0.0, 0.0
84, 6, O, Random Agent, X, 0.0, 0.0
85, 8, O, Random Agent, X, 0.0, 0.0
86, 7, X, Random Agent, X, 0.0, 0.0
87, 7, X, Random Agent, X, 0.0, 0.0
88, 8, O, Random Agent, X, 0.0, 0.0
89, 8, O, Random Agent, X, 0.0, 0.0
90, 8, X, Random Agent, O, 0.0, 0.0
91, 6, X, Random Agent, O, 0.0, 0.0
92, 8, X, Random Agent, O, 0.0, 0.0
93, 9, X, Random Agent, X, 0.0, 0.0
94, 9, X, Random Agent, X, 0.0, 0.0
95, 9, X, None, Draw, 0.0, 0.0
96, 9, O, None, Draw, 0.0, 0.0
97, 5, O, Random Agent, O, 0.0, 0.0
98, 7, O, Random Agent, O, 0.0, 0.0
99, 7, X, Random Agent, X, 0.0, 0.0
